Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00    3010/3895        std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long) [53]
                0.00    0.00    2580/2580        std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long) [56]
                0.00    0.00     862/862         std::vector<std::complex<double>, std::allocator<std::complex<double> > >::push_back(std::complex<double>&&) [73]
                0.00    0.00       2/2           std::vector<Vector, std::allocator<Vector> >::vector() [147]
                0.00    0.00       2/3           std::vector<std::complex<double>, std::allocator<std::complex<double> > >::vector() [135]
                0.00    0.00       2/3           std::vector<std::complex<double>, std::allocator<std::complex<double> > >::~vector() [136]
                0.00    0.00       2/2           std::vector<Vector, std::allocator<Vector> >::~vector() [148]
-----------------------------------------------
                3.78   26.41     861/861         BICGSTAB::Solve(Matrix const&, Vector&, Vector const&) [2]
[3]     97.0    3.78   26.41     861         Matrix::operator*(Vector const&) const [3]
                5.65   10.49 674356725/675879355     std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&) [4]
                3.68    3.32 674356725/677020575     std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&) [6]
                3.13    0.00 675118710/689729175     Vector::operator[](int) const [9]
                0.01    0.12     861/865         Vector::Vector(int) [16]
                0.00    0.00    1722/2287603     Vector::Size() const [18]
-----------------------------------------------
                0.00    0.00     430/675879355     BICGSTAB::Solve(Matrix const&, Vector&, Vector const&) [2]
                0.01    0.02 1522200/675879355     Vector::InnerProduct(Vector const&) const [19]
                5.65   10.49 674356725/675879355     Matrix::operator*(Vector const&) const [3]
[4]     52.0    5.67   10.51 675879355         std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&) [4]
                7.19    3.33 675879355/678162655     std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&) [5]
-----------------------------------------------
                0.02    0.01 2283300/678162655     operator*(std::complex<double> const&, Vector const&) [12]
                7.19    3.33 675879355/678162655     std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&) [4]
[5]     33.9    7.21    3.34 678162655         std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&) [5]
                1.68    0.00 678162655/1356327485     std::complex<double>::real[abi:cxx11]() const [7]
                1.65    0.00 678162655/1356327485     std::complex<double>::imag[abi:cxx11]() const [8]
-----------------------------------------------
                0.01    0.01 1141650/677020575     Vector::operator+(Vector const&) const [20]
                0.01    0.01 1522200/677020575     std::complex<double> std::operator+<double>(std::complex<double> const&, std::complex<double> const&) [32]
                3.68    3.32 674356725/677020575     Matrix::operator*(Vector const&) const [3]
[6]     22.6    3.69    3.33 677020575         std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&) [6]
                1.68    0.00 677020575/1356327485     std::complex<double>::real[abi:cxx11]() const [7]
                1.65    0.00 677020575/1356327485     std::complex<double>::imag[abi:cxx11]() const [8]
-----------------------------------------------
                0.00    0.00    1720/1356327485     std::complex<double>& std::complex<double>::operator/=<double>(std::complex<double> const&) [15]
                0.00    0.00 1142535/1356327485     std::complex<double>& std::complex<double>::operator-=<double>(std::complex<double> const&) [35]
                1.68    0.00 677020575/1356327485     std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&) [6]
                1.68    0.00 678162655/1356327485     std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&) [5]
[7]     10.8    3.37    0.00 1356327485         std::complex<double>::real[abi:cxx11]() const [7]
-----------------------------------------------
                0.00    0.00    1720/1356327485     std::complex<double>& std::complex<double>::operator/=<double>(std::complex<double> const&) [15]
                0.00    0.00 1142535/1356327485     std::complex<double>& std::complex<double>::operator-=<double>(std::complex<double> const&) [35]
                1.65    0.00 677020575/1356327485     std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&) [6]
                1.65    0.00 678162655/1356327485     std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&) [5]
[8]     10.6    3.31    0.00 1356327485         std::complex<double>::imag[abi:cxx11]() const [8]
-----------------------------------------------
                0.00    0.00     885/689729175     main [1]
                0.01    0.00 1522200/689729175     Vector::InnerProduct(Vector const&) const [19]
                0.01    0.00 2283300/689729175     Vector::operator+(Vector const&) const [20]
                0.01    0.00 2283300/689729175     operator*(std::complex<double> const&, Vector const&) [12]
